id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19736753.0000000000000000,21000000.0000000000000000,1107320100230.0246379809749807,17236065778.7601563829396234,56104.4717046428375519,0.1732961795191453,56817.1578191704158601,https://blockchain.info/
ethereum,2,ETH,Ethereum,120259132.6581166400000000,,288247987249.7135337718706300,12621888069.1512238741782572,2396.8906217640081697,-4.4762259651884591,2496.2661540154448449,https://etherscan.io/
tether,3,USDT,Tether,114551170628.4914600000000000,,114642256192.6233721104781076,22636625377.2009839052935999,1.0007951517529866,-0.0287885742358101,1.0012656546595351,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,79940574530.5604034137878236,317584667.2120078668475076,479.2567406703963657,-0.7048831962847755,489.1326459494180332,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
solana,5,SOL,Solana,466354897.7758937500000000,,68819687131.7094673732391843,2018838474.5987550508846845,147.5693457062837154,2.2798613144120347,149.5416478577091679,https://explorer.solana.com/
usd-coin,6,USDC,USDC,34418439418.0468300000000000,,34431898207.0305463756900497,2103326053.7630303468367254,1.0003910342598700,-0.0229246396201946,1.0005773076697948,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,7,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,22637746951.6226984851938400,590830814.7681357071443500,0.4985845448013685,-1.5975930906942288,0.5122128304466349,https://xrpcharts.ripple.com/#/graph/
dogecoin,8,DOGE,Dogecoin,145435696383.7052600000000000,,14197346576.1409831232373774,339381170.3493598783057743,0.0976194079525284,0.6745308125359035,0.0984539542462550,http://dogechain.info/chain/Dogecoin
cardano,9,ADA,Cardano,35925617164.1500000000000000,45000000000.0000000000000000,11632344628.5406767033316123,154864926.4610727643603968,0.3237896951189620,-2.0275030938618590,0.3338501708935312,https://cardanoexplorer.com/
tron,10,TRX,TRON,87002933754.3294500000000000,,10814064771.9867587687194888,129466210.2476540125453247,0.1242954036759551,1.0182086125206008,0.1239858417017479,https://tronscan.org/#/
wrapped-bitcoin,11,WBTC,Wrapped Bitcoin,154969.2665714100000000,,8697648920.1789781620454214,43484033.0416788763615065,56124.9924750149891779,0.1739972337743599,56928.1623264481720360,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
avalanche,12,AVAX,Avalanche,395071490.6179737400000000,715748719.0000000000000000,8039624996.0598025800533771,87091931.9880507805856092,20.3497979150157402,-2.8103583517323774,21.1319747748003043,https://avascan.info/
shiba-inu,13,SHIB,Shiba Inu,589270512553780.6000000000000000,,7782546897.6063150117861093,125640485.7354027443627945,0.0000132070869521,-2.2829998024083850,0.0000136391943942,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
polkadot,14,DOT,Polkadot,1397193044.6911900000000000,,6283626724.4374194316612019,110116442.4980210584178393,4.4973217897933620,1.4940633814890377,4.5466756548980314,https://polkascan.io/polkadot
bitcoin-cash,15,BCH,Bitcoin Cash,19743640.6250000000000000,21000000.0000000000000000,6216198221.2762255640190516,113556130.3422413515504799,314.8455920234430201,-0.9333129256865746,320.7035610453751088,https://blockchair.com/bitcoin-cash/blocks
chainlink,16,LINK,Chainlink,608099970.4527867000000000,,5931814062.9640545900196823,135086997.0665226335293105,9.7546692175420928,-5.0017107437263185,10.2240175684970664,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
unus-sed-leo,17,LEO,UNUS SED LEO,925774460.9000000000000000,,5385375562.0910130687529457,999086.8346516201440154,5.8171571905921574,2.4398508408180294,5.6963997222689125,https://eospark.com/account/bitfinexleo1
multi-collateral-dai,18,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5340332348.4267898337152566,80723076.1779502663440371,0.9985870596994807,0.0270591901037942,0.9991298445174555,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
litecoin,19,LTC,Litecoin,74834956.1075049000000000,84000000.0000000000000000,4259218185.2547078387168749,188847485.1522584083939670,56.9148217196263952,-2.3227513914713705,58.5445913010147326,http://explorer.litecoin.net/chain/Litecoin
near-protocol,20,NEAR,NEAR Protocol,1109438737.0000000000000000,,3980506650.1780611990482095,94076001.5198163174669696,3.5878561991999935,-2.1506852751209034,3.7499895407987457,https://explorer.nearprotocol.com/
polygon,21,MATIC,Polygon,9925338570.7522050000000000,,3915277257.2565824985475918,79950040.2346726987578197,0.3944729169032123,-3.5966169778271811,0.4099831925128450,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
uniswap,22,UNI,Uniswap,600034294.7100000000000000,,3406225026.0388451423591572,73421659.8019495970298993,5.6767172411121820,-1.9540672737837616,5.8576262422934531,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
internet-computer,23,ICP,Internet Computer,468355138.9855902000000000,,3395158358.6202430347743538,37885976.0009297194137905,7.2491109331560068,-3.0190165015806900,7.6114823111491381,https://www.dfinityexplorer.org/#/
